,UNIVALLE,CIAT,CENICAÑA,UAO,UNAL,UIS,UCESAR,ITM,UPB,UPAMPLONA,ULIBRE,UDEA,SENA,BIOPACIFICO,CORPOICA-AGROSAVIA,BIOTEC,ALEXANDER VON HUMBOLT,CORPOGEN,CENIPALMA,INCAUCA,RIOPAILA,MAYAGUEZ,PROVIDENCIA,RISARALDA,GPC,PROGEN,BIOENERGY,ASOCAÑA,PROCAÑA,CIAMSA,TECNICAÑA,TERPEL,FEDEPETROLEO,MINMINAS,MINCIENCIAS,DNP,MADR,FEPALMA,FEDEBIOCOMBUSTIBLES,ICA,BANCO AGRARIO,FINAGRO,BANCOLDEX
PROGEN,0.032202446958616855,0.050639984183063841,0.050350170756597257,0.0025788482863553161,0.040059338071046051,0,0,0,0,0,0.029362785316082888,0,0.009088040391290627,0.027031242132977702,0.039467430988177829,0,0.029055024026269863,0,0.026813882063127747,0.023704638687283057,0.031981487325128857,0.033289155359209004,0.035027663826654051,0,0,0,0.035134965867100902,0.039634795413905542,0.039889765435994533,0.040053013568949199,0.015044914273693069,0.0096779215315031027,0.040064794362049017,0.04002608604186389,0.039936047123172398,0.040057220995056278,0,0.040064794362049017,0.040069843273377509,0,0.039689491953297573,0.039984011780793097,0.040020195645313984,1.0000000000000002
BIOENERGY,0.001548620938786984,0,0.066614813327980735,0.017192416125704234,0.021559757985892079,0,0,0,0,0,0,0,0.025558082001061053,0.0042794596210449327,0.01896828582898433,0,0.0032107295929373375,0,0.0043942443388696002,0.036822548377413604,0.043201206482065518,0.044208977394492227,0.045548780937010612,0,0,0.018554268710064648,0,0.049099325174807397,0.049295821047693686,0.049421630286439366,0.03014882221281694,0.026012681363745176,0.049430709303668434,0.04940087824705864,0.049331488615379324,0.049424872792592604,0,0.049430709303668434,0.049434600311052325,0,0.04914147775479951,0.04936845318552624,0.049396338738444102,0.99999999999999989
ASOCAÑA,0.048846963154894008,0.058848985750600442,0.058691767332285087,0.032776709320058099,0.053109181122612793,0,0,0,0,0,0,0,0.024182990691803605,0.046041680275546747,0.052788082488595837,0,0.04713954448479972,0,0.045923766461810227,0.012611448631898128,0.006058904722788732,0.0050236614089664471,0.003647334068968478,0,0,0.0313777318689469,0.050437800370729029,0,0.024974149170525557,0.040964198474426415,0.019467104322081617,0.023715998695027912,0.042118119558213069,0.038326664568628328,0.029507410571116006,0.041376313147207362,0,0.042118119558213069,0.042612657165550218,0,0.0053574907461523503,0.034205517840818836,0.037749704026734998,1.0000000000000002
PROCAÑA,0.055166030067348298,0.066415473551819579,0.066238647345456508,0.037091544575414054,0.059959818492394741,0,0,0,0,0,0,0,0.02742604431234761,0.052010881105505447,0.059598673443805754,0.040308882414918493,0,0,0.051878261450733133,0.014411335818590694,0.0070415791838991043,0.005877223570813426,0.0043292450015502259,0,0,0.035518091044217187,0.056955271511395018,0.00022702686664411882,0,0.039951490744342497,0.022122007385041609,0.026900810538362369,0.042834588014552789,0.033361554126718984,0.011326453561540401,0.040981168340846162,0,0.042834588014552789,0.044070201130357187,0,0.00017832473353564444,0.023064778161682262,0.031920005491613848,1
CIAMSA,0,0,0.082354989630962189,0,0.074565569737876911,0.057835048418587866,0.020654046542285802,0,0.042849245612344322,0,0,0.062989264803690243,0,0,0.074117538665267463,0.050186916332632545,0.066236095792538335,0.063824907820860144,0.064539712581932043,0.018058812611319915,0.0089160042499372375,0.0074715223270429018,0.0055511235801318989,0.0087635621422443993,0.0069045120484292951,0.044243533182705658,0.070838174299777609,0.00046197394831305326,0.00018032785910006505,0,0.027624554869045533,0.033553065618221897,0,0,0.00012920398152014971,0.013736263736263722,7.4362003752604129e-06,0.038461538461538471,0.054945054945054951,0,0,0,0,1
TECNICAÑA,0.039971451905590254,0,0.053365359580090553,0,0.045770221786592624,0.029456989669030622,0.011276161086448652,0,0.014844959656289116,0.016844320108067447,0,0.034482650655301039,0,0,0.045333365412312671,0,0,0.035297451237204937,0.035994427485796815,0.015474459760053752,0.030264741190418994,0.032601473331816677,0.035708094055193505,0.030511346126834187,0.033518723400190277,0.01620447119450474,0.042135794274429525,0.043940789341005801,0.044396406997919247,0.044688122593434791,0,0,0,0.044640004557061089,0.044479109872936545,0.044695641036618182,0.04467609308434136,0.044709174234348274,0.044718196366168347,0,0,0,0,0.99999999999999989
TERPEL,0.034885751107126002,0,0.048551895467774615,0,0.040802383372617268,0.024157578098066283,0.012979986509440718,0.015229526579715626,0.0092485525612969761,0.016443623465876474,0.02188086938209604,0.029285387712344027,0.00064825870867605206,0.030991575041170446,0.040356647712728733,0.0165486299454464,0.03251558410236606,0.030116749451430724,0.030827892029136685,0.01559151078229209,0.024791708757853012,0.026245257726338334,0.028177710859472627,0.024945107748092131,0.026815827141252139,0.010635696731074546,0.037094084625411895,0.033298805198248148,0.033582219186311893,0.033763678967448411,0,0,0.033776774003200533,0.033733747457157848,0.033633663969623792,0.033768355765931311,0.033756196089875769,0.033776774003200533,0.033782386161380004,0,0.033359603578525847,0,0,0.99999999999999989
FEDEPETROLEO,0.053739377665149128,0.064667027374156347,0.064495259335570668,0.036181918365137039,0.058396038304434343,0.045295814039586789,0.016182587160654509,0.014432154394558706,0.033561727946033133,0.013487430182337352,0.0092565504861565184,0.049331635115678771,0.02679290269668138,0.05067448270546953,0.058045223920543218,0.039307223270590427,0.051873947652881537,0.049985954889782788,0.050545656676530257,0.014150483924505033,0.0069915414349755872,0.0058604925707290692,0.0043567944024322158,0.0068721772047719643,0.0054165158608253505,0.03465347395399309,0.055477437309821388,0.00037192147337835989,0.00015138877977044789,0,0,0.026282693395628085,0,3.3480210910772135e-05,0.00011135809281191596,6.5504760477597642e-06,1.6012274783412748e-05,0,0.052631578947368418,0,0.00032461247970009491,0,3.8575025614585278e-05,0.99999999999999989
MINMINAS,0,0,0.071555698149738736,0,0.064785267283899203,0.050243383613941449,0,0,0.037217979506654446,0,0,0.054723340553211174,0.029704255514732287,0.056213966441931225,0.064395846320016784,0.043595757699367743,0.057545430650392262,0.055449667205763657,0.056070963307891408,0.015670558123367987,0.0077237850927716007,0.0064682660515407364,0.0047990882270986732,0.0075912850137742635,0.0059754303918555188,0.038429870473093507,0.061545478766952121,0.00037568619959610816,0.00013088422437541834,0,0.02398493808045089,0.029137898469749766,0.035060975609756101,0,8.6448222272652835e-05,0.028201219512195123,0.018292682926829278,0.035060975609756101,0.039634146341463408,0,0.00032317092438374897,0,5.6554911767156044e-06,1.0000000000000002
MINCIENCIAS,0.04295896143985576,0.051712603402044532,0.051575007857680849,0.028894481284408826,0.046689199968834305,0.036195207583231789,0.012873928877520355,0.011471736995339455,0.026795566200894797,0.01071496150133912,0.0073257966734316038,0.039428119843811039,0.021373368901816892,0.04050381382411198,0.046408178560430474,0.031398020553466952,0.041464650506787291,0.039952265582721906,0.04040061716583921,0.011246103623861697,0.0055114011901272551,0.0046053695124103665,0.0034008254672603703,0.0054157839474338384,0.0042497200121482661,0.027670114152358975,0.044351241778586722,0.00020872544441611737,3.206675822035323e-05,0.02605924259467567,0.017246085602873606,0.020964663492499296,0.028683914510686168,0.020059992500937384,0,0.026996625421822271,0.024559430071241097,0.028683914510686168,0.029808773903262094,0.01250486964200247,0.00017082836651933627,0.010686164229471315,0.018747656542932131,1
DNP,0.05941522616568462,0.071498505845629209,0.071308572849461169,0.040001015714152509,0.064564341883833393,0.050078731722695599,0.017886698473875608,0.015951152474790311,0.037103732721758709,0.014906520995866099,0,0.054541352331813273,0.02961908499140806,0.056026209865415101,0,0.043456830483413332,0.057352521635266482,0.05526486827908051,0,0,0,0,0,0.0075916862409029758,0.0059820845784619757,0.038310933968589457,0.061337090550639184,0.00040401001727269098,0.00016015536541287947,4.024004156102492e-06,0.023921899907198139,0.029054919608722488,0.025568181818181823,2.9777630755158505e-05,0.00011589131969575197,0,1.0462410805866491e-05,0.025568181818181823,0.042613636363636354,0,0.00035169796324335838,0,0,1
MADR,0,0,0.12736720332592241,0,0.11531928464489129,0.08944213806495338,0,0,0,0,0,0.097414179722031854,0,0,0,0,0,0.098706671236858487,0.099812261865225169,0.027920117038857366,0.013778908429475233,0.011544723986715999,0.008574437591130038,0.013543125772710423,0.010667727519481033,0,0,0,0,0.02344322344322345,0.04271547875084919,0.05188512378039771,0.064468864468864462,3.4504779038752697e-05,0.00018833858558652499,0.038095238095238078,0,0.064468864468864462,0,0,0.00060958442968463047,0,0,1.0000000000000002
FEPALMA,0,0,0.089072095394080161,0,0.080648679423484526,0.062556428342965306,0.022349192206470584,0,0.046350901818151102,0.018627007321134589,0,0.068130156452386889,0.037002719416416086,0,0.080164182228039754,0,0.071641253348006292,0.069033814084554612,0.069806798199278722,0.019542727124143254,0.0096557677581792078,0.0080937166342763874,0.0060170128878264334,0.0094909180900195778,0.0074805562831948419,0.04785867317326966,0.076617904000800915,0.00051364744164372007,0.00020907762790977255,1.4072532647773144e-05,0.029887043801159932,0.036298087603124016,0.032258064516129031,4.6238321556968932e-05,0.00015379267822209226,9.046628130711313e-06,2.2113979875072087e-05,0,0,0,0.00044831068292191606,0,0,0.99999999999999989
FEDEBIOCOMBUSTIBLES,0,0.074220436911166837,0.074023306495196617,0,0.067023506131507704,0.051988970720286132,0.018577035810076536,0,0.038522290354726152,0.015483925935763884,0,0.056620700197213936,0.030754015488102426,0.058161825694947364,0.066620892315839675,0.045116135709256024,0.059538397413247991,0.057371633434320904,0.058013977882969678,0.016244882753343907,0.0080288879589233662,0.0067308342876617232,0.0050051078495493978,0.0078918990257915069,0.0062213022802810264,0.039775237913859014,0.063673959656759191,0.00043184925871445908,0.00017875385176962136,1.6705967455104787e-05,0.024840938307368079,0.030168471328800999,5.011790236531435e-06,4.3435515383272484e-05,0.00013281244126808314,1.2529475591328596e-05,0,0,0,0.018048291940122467,0.00037755486448536843,8.5200434021034482e-05,4.928260399255916e-05,0.99999999999999978
ICA,0.053278747809315394,0.06859304730024203,0.068352326993870727,0.028673256493235544,0.059804716115093248,0,0,0,0,0,0,0,0.01551523974666877,0.048983522342664808,0.059313075489368809,0,0.050664484482071157,0.04801860111458324,0.048802982112886327,0.0064520092176303789,0.035846155889521253,0.040490168082294588,0.046664253790318834,0,0,0,0,0,0,0,0,0,0,0,0.064095735849808405,0,0,0,0.064570895398489855,0,0.063220127373307386,0.064266076065373462,0.064394578333255861,1
BANCO AGRARIO,0.042531084819884941,0.051232139575853167,0.051095370632040171,0.028551096550388361,0.046238914067832509,0.035807963984398894,0.012626787066939911,0,0.026464790627817054,0,0.007111985078276417,0.039021454634581648,0.02107516699450784,0.040090686419899449,0.045959580885977125,0.031039595892477588,0.041045750908898754,0.039542451585801539,0.039988109712039685,0.011008740918101272,0.0053084895140981083,0.0044079007908548263,0.0032105930030680695,0.0052134466887365262,0.0040543878428635763,0.027334084762221766,0.043915001081857245,3.7669412490870875e-05,0.016146320945441713,0,0,0.020668916869029368,0.030257391351542037,0.027136673857885235,0.019877613600900932,0.029646816189739612,0.028764874289358346,0.030257391351542037,0.030664441459410316,0.012259944942221121,0,0.023744589625649577,0.026661782065372241,0.99999999999999978
FINAGRO,0.075143992271497609,0.090444062790005664,0.090203566144050701,0.050561362651278502,0.081663897105480207,0,0,0,0,0,0,0,0.03741557141051962,0.070852757626936713,0.081172713277724712,0,0.072532157934283276,0,0.070672385142470484,0.019714610646800104,0.009691199589117596,0.0081075903187191999,0.0060022256130286685,0,0,0.048421350123713104,0.077577492231414844,0.00042290723759030516,0.00011413400147015463,0,0,0,0,0,5.8086054319632247e-05,0,0,0,0.06116941529235382,0.021914747335854246,0.00035666875459423322,0,0.025787106446776613,1.0000000000000002
