;UNIVALLE;CIAT;CENICA A;UAD;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA_AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCA A;PROCA A;CIAMSA;TECNICA A;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
PROGEN;0.032202446958616855;0.05063998418306384;0.05035017075659726;0.002578848286355316;0.04005933807104605;0.0;0.0;0.0;0.0;0.0;0.029362785316082888;0.0;0.009088040391290627;0.027031242132977702;0.03946743098817783;0.0;0.029055024026269863;0.0;0.026813882063127747;0.023704638687283057;0.03198148732512886;0.033289155359209004;0.03502766382665405;0.0;0.0;0.0;0.0351349658671009;0.03963479541390554;0.03988976543599453;0.0400530135689492;0.01504491427369307;0.009677921531503103;0.04006479436204902;0.04002608604186389;0.0399360471231724;0.04005722099505628;0.0;0.04006479436204902;0.04006984327337751;0.0;0.03968949195329757;0.0399840117807931;0.040020195645313984
BIOENERGY;0.001548620938786984;0.0;0.06661481332798073;0.017192416125704234;0.02155975798589208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025558082001061053;0.004279459621044933;0.01896828582898433;0.0;0.0032107295929373375;0.0;0.0043942443388696;0.036822548377413604;0.04320120648206552;0.04420897739449223;0.04554878093701061;0.0;0.0;0.018554268710064648;0.0;0.0490993251748074;0.049295821047693686;0.049421630286439366;0.03014882221281694;0.026012681363745176;0.049430709303668434;0.04940087824705864;0.049331488615379324;0.049424872792592604;0.0;0.049430709303668434;0.049434600311052325;0.0;0.04914147775479951;0.04936845318552624;0.0493963387384441
ASOCA A;0.04884696315489401;0.05884898575060044;0.05869176733228509;0.0327767093200581;0.05310918112261279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024182990691803605;0.04604168027554675;0.05278808248859584;0.0;0.04713954448479972;0.0;0.04592376646181023;0.012611448631898128;0.006058904722788732;0.005023661408966447;0.003647334068968478;0.0;0.0;0.0313777318689469;0.05043780037072903;0.0;0.024974149170525557;0.040964198474426415;0.019467104322081617;0.023715998695027912;0.04211811955821307;0.03832666456862833;0.029507410571116006;0.04137631314720736;0.0;0.04211811955821307;0.04261265716555022;0.0;0.00535749074615235;0.034205517840818836;0.037749704026735
PROCA A;0.0551660300673483;0.06641547355181958;0.06623864734545651;0.037091544575414054;0.05995981849239474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02742604431234761;0.052010881105505447;0.059598673443805754;0.04030888241491849;0.0;0.0;0.05187826145073313;0.014411335818590694;0.007041579183899104;0.005877223570813426;0.004329245001550226;0.0;0.0;0.03551809104421719;0.05695527151139502;0.00022702686664411882;0.0;0.0399514907443425;0.02212200738504161;0.02690081053836237;0.04283458801455279;0.033361554126718984;0.011326453561540401;0.04098116834084616;0.0;0.04283458801455279;0.04407020113035719;0.0;0.00017832473353564444;0.023064778161682262;0.03192000549161385
CIAMSA;0.0;0.0;0.08235498963096219;0.0;0.07456556973787691;0.057835048418587866;0.020654046542285802;0.0;0.04284924561234432;0.0;0.0;0.06298926480369024;0.0;0.0;0.07411753866526746;0.050186916332632545;0.06623609579253834;0.06382490782086014;0.06453971258193204;0.018058812611319915;0.008916004249937238;0.007471522327042902;0.005551123580131899;0.0087635621422444;0.006904512048429295;0.04424353318270566;0.07083817429977761;0.00046197394831305326;0.00018032785910006505;0.0;0.027624554869045533;0.0335530656182219;0.0;0.0;0.0001292039815201497;0.013736263736263722;7.436200375260413e-06;0.03846153846153847;0.05494505494505495;0.0;0.0;0.0;0.0
TECNICA A;0.039971451905590254;0.0;0.05336535958009055;0.0;0.045770221786592624;0.029456989669030622;0.011276161086448652;0.0;0.014844959656289116;0.016844320108067447;0.0;0.03448265065530104;0.0;0.0;0.04533336541231267;0.0;0.0;0.03529745123720494;0.035994427485796815;0.015474459760053752;0.030264741190418994;0.03260147333181668;0.035708094055193505;0.030511346126834187;0.03351872340019028;0.01620447119450474;0.042135794274429525;0.0439407893410058;0.04439640699791925;0.04468812259343479;0.0;0.0;0.0;0.04464000455706109;0.044479109872936545;0.04469564103661818;0.04467609308434136;0.044709174234348274;0.04471819636616835;0.0;0.0;0.0;0.0
TERPEL;0.034885751107126;0.0;0.048551895467774615;0.0;0.04080238337261727;0.024157578098066283;0.012979986509440718;0.015229526579715626;0.009248552561296976;0.016443623465876474;0.02188086938209604;0.029285387712344027;0.0006482587086760521;0.030991575041170446;0.04035664771272873;0.0165486299454464;0.03251558410236606;0.030116749451430724;0.030827892029136685;0.01559151078229209;0.024791708757853012;0.026245257726338334;0.028177710859472627;0.02494510774809213;0.02681582714125214;0.010635696731074546;0.037094084625411895;0.03329880519824815;0.03358221918631189;0.03376367896744841;0.0;0.0;0.03377677400320053;0.03373374745715785;0.03363366396962379;0.03376835576593131;0.03375619608987577;0.03377677400320053;0.033782386161380004;0.0;0.03335960357852585;0.0;0.0
FEDEPETROLEO;0.05373937766514913;0.06466702737415635;0.06449525933557067;0.03618191836513704;0.05839603830443434;0.04529581403958679;0.01618258716065451;0.014432154394558706;0.03356172794603313;0.013487430182337352;0.009256550486156518;0.04933163511567877;0.02679290269668138;0.05067448270546953;0.05804522392054322;0.03930722327059043;0.05187394765288154;0.04998595488978279;0.05054565667653026;0.014150483924505033;0.006991541434975587;0.005860492570729069;0.004356794402432216;0.006872177204771964;0.0054165158608253505;0.03465347395399309;0.05547743730982139;0.0003719214733783599;0.00015138877977044789;0.0;0.0;0.026282693395628085;0.0;3.3480210910772135e-05;0.00011135809281191596;6.550476047759764e-06;1.6012274783412748e-05;0.0;0.05263157894736842;0.0;0.0003246124797000949;0.0;3.857502561458528e-05
MINMINAS;0.0;0.0;0.07155569814973874;0.0;0.0647852672838992;0.05024338361394145;0.0;0.0;0.037217979506654446;0.0;0.0;0.054723340553211174;0.029704255514732287;0.056213966441931225;0.06439584632001678;0.04359575769936774;0.05754543065039226;0.05544966720576366;0.05607096330789141;0.015670558123367987;0.007723785092771601;0.006468266051540736;0.004799088227098673;0.0075912850137742635;0.005975430391855519;0.03842987047309351;0.06154547876695212;0.00037568619959610816;0.00013088422437541834;0.0;0.02398493808045089;0.029137898469749766;0.0350609756097561;0.0;8.644822227265284e-05;0.028201219512195123;0.018292682926829278;0.0350609756097561;0.03963414634146341;0.0;0.000323170924383749;0.0;5.655491176715604e-06
MINCIENCIAS;0.04295896143985576;0.05171260340204453;0.05157500785768085;0.028894481284408826;0.046689199968834305;0.03619520758323179;0.012873928877520355;0.011471736995339455;0.026795566200894797;0.01071496150133912;0.007325796673431604;0.03942811984381104;0.021373368901816892;0.04050381382411198;0.046408178560430474;0.03139802055346695;0.04146465050678729;0.039952265582721906;0.04040061716583921;0.011246103623861697;0.005511401190127255;0.0046053695124103665;0.0034008254672603703;0.005415783947433838;0.004249720012148266;0.027670114152358975;0.04435124177858672;0.00020872544441611737;3.206675822035323e-05;0.02605924259467567;0.017246085602873606;0.020964663492499296;0.02868391451068617;0.020059992500937384;0.0;0.02699662542182227;0.024559430071241097;0.02868391451068617;0.029808773903262094;0.01250486964200247;0.00017082836651933627;0.010686164229471315;0.01874765654293213
